Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Canada,...,...,Development,GDP (current US$ Mil),        1552807.65,        1792883.23,        1842628.01,        1824288.76,        1788703.39,        1613406.13,        1371153.00,        1549131.21,        1464977.19,        1315415.20,        1169357.98,        1023196.00,         892380.99,         757950.68,         736379.78,         742293.45,         676082.65,         631813.28,         652825.36,         628546.39,         604031.62,         578139.28,         577170.76,         592387.69,         610328.18,         593929.55,         565055.74,         507354.35
Canada,...,...,Export,No. Of Export partners,            218.00,            222.00,            215.00,            217.00,            215.00,            217.00,            219.00,            218.00,            216.00,            218.00,            216.00,            215.00,            215.00,            215.00,            213.00,            208.00,            198.00,            197.00,            198.00,            199.00,            200.00,            190.00,            193.00,            177.00,            174.00,            179.00,            181.00,
Canada,...,...,Export,No. Of Export products,           4416.00,           4414.00,           4411.00,           4446.00,           4478.00,           4464.00,           4465.00,           4489.00,           4474.00,           4711.00,           4710.00,           4694.00,           4675.00,           4633.00,           4663.00,           4658.00,           4642.00,           4653.00,           4662.00,           4657.00,           4720.00,           4709.00,           4677.00,           4658.00,           4656.00,           4687.00,           4578.00,
Canada,...,...,Import,No. Of Import partners,            224.00,            224.00,            221.00,            220.00,            219.00,            219.00,            220.00,            220.00,            221.00,            218.00,            219.00,            218.00,            218.00,            218.00,            210.00,            210.00,            201.00,            200.00,            200.00,            195.00,            194.00,            192.00,            177.00,            165.00,            164.00,            167.00,            169.00,
Canada,...,...,Import,No. Of Import products,           4560.00,           4561.00,           4559.00,           4557.00,           4588.00,           4585.00,           4588.00,           4591.00,           4594.00,           4848.00,           4854.00,           4851.00,           4854.00,           4859.00,           4931.00,           4924.00,           4938.00,           4941.00,           4937.00,           4914.00,           4992.00,           4999.00,           4990.00,           4977.00,           4989.00,           4986.00,           4995.00,
Canada,...,...,Tariff,No. Of Tariff Agreement,             21.00,             19.00,             19.00,             17.00,             16.00,             16.00,             11.00,             11.00,             11.00,             11.00,             11.00,             11.00,             11.00,              7.00,              5.00,             10.00,             11.00,             11.00,              8.00,              2.00,              9.00,,              7.00,,,,              8.00,
Canada,...,...,Development,Trade Balance (current US$ Mil),         -37104.27,         -18330.09,         -30342.89,         -35937.17,         -21453.26,         -30926.03,         -20248.45,          26676.66,          30973.84,          35220.38,          45375.47,          44973.10,          34019.70,          32865.61,          41723.92,          41696.18,          24071.48,          12198.85,          12412.25,          24631.46,          18801.37,           6706.94,            111.62,          -2118.81,          -3219.87,           1052.45,            338.68,           4002.60
Canada,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15824.36,          17488.10,          19900.00,          19383.18,          16984.62,          12854.41,           9797.29,           9881.45,           8873.35,           6879.50,           5961.77,           5209.11,           3436.40,           2633.77,           2755.22,           2444.72,           1788.50,           1682.31,,           2211.43,           2525.42,           1681.74,,           1869.13,,           1418.02,,
Canada,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          51377.08,          53040.68,          51209.84,          50764.77,          48653.54,          43240.16,          34872.19,          40152.20,          35824.74,          30443.27,          24369.38,          18549.05,          13288.64,          10201.97,           8218.55,           7594.11,           6004.02,           5162.41,           4578.68,           3617.61,,,,,,,,
Canada,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,           2331.42,           2085.68,,
Canada,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           2080.69,           1883.50,           1893.27,           2121.44,           1625.03,           1829.56,           1974.20,           2448.43,           2417.09,           1669.89,           1925.04,           1894.63,           2122.77,           1990.76,           1664.21,
