Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),       21737976.61,       21879124.60,       21247540.90,       21006325.41,       19632441.28,       16932058.75,       14520635.39,       14092137.20,       12199832.67,       10912634.93,       10293752.41,        9652511.00,        8606798.26,        7826076.48,        7704713.93,        8283402.65,        7656660.39,        6858933.22,        7651686.65,        7998204.20,        8299934.69,        7305131.70,        6495367.10,        5786196.67,        5301881.46,        4708811.97,        4499717.84,        4300315.21
,...,...,Export,No. Of Export partners,            234.00,            236.00,            235.00,            237.00,            235.00,            234.00,            234.00,            234.00,            235.00,            233.00,            234.00,            235.00,            237.00,            236.00,            236.00,            235.00,            223.00,            222.00,            221.00,            222.00,            225.00,            225.00,            226.00,            221.00,            201.00,            204.00,            202.00,            196.00
,...,...,Export,No. Of Export products,           4727.00,           4740.00,           4734.00,           4753.00,           4692.00,           4686.00,           4832.00,           4863.00,           4876.00,           4903.00,           4904.00,           4919.00,           4928.00,           4923.00,           4956.00,           4965.00,           4979.00,           5019.00,           5014.00,           5025.00,           5035.00,           5031.00,           5030.00,           5031.00,           5021.00,           5018.00,           5013.00,           4960.00
,...,...,Import,No. Of Import partners,            235.00,            236.00,            234.00,            236.00,            234.00,            234.00,            234.00,            233.00,            233.00,            233.00,            231.00,            235.00,            235.00,            236.00,            236.00,            234.00,            219.00,            218.00,            220.00,            221.00,            222.00,            224.00,            222.00,            219.00,            196.00,            201.00,            197.00,            189.00
,...,...,Import,No. Of Import products,           4845.00,           4801.00,           4837.00,           4848.00,           4839.00,           4834.00,           4889.00,           4906.00,           4911.00,           4939.00,           4928.00,           4935.00,           4951.00,           4954.00,           4970.00,           4999.00,           5021.00,           5030.00,           5033.00,           5033.00,           5035.00,           5035.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5012.00
,...,...,Tariff,No. Of Tariff Agreement,           1165.00,           1126.00,           1101.00,           1204.00,           1128.00,            986.00,            974.00,           1112.00,           1007.00,            996.00,           1070.00,            939.00,           1015.00,            731.00,            809.00,            673.00,            674.00,            673.00,            702.00,            688.00,            235.00,            232.00,            609.00,            218.00,            404.00,            218.00,            219.00,            400.00
,...,...,Development,Trade Balance (current US$ Mil),         664402.23,         410482.01,         326056.27,         326482.31,         376887.46,         513243.15,         462426.25,         456937.84,         592542.68,         449291.25,         326209.84,         269152.54,         231655.27,         188905.81,         144045.80,         177509.92,         200012.59,         218147.51,          83771.42,          24082.00,          58700.45,         105896.54,         102393.27,          96953.74,          70221.94,          38972.90,          60420.92,          91413.90
,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,          22338.82,          20912.59,          18805.59,          12429.03
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         726283.75,         813560.94,         845138.55,         785745.61,         762717.45,         646593.23,         478259.38,         512427.82,         461646.61,         396231.47,         338977.92,         289590.99,         226124.74,         170029.34,         141128.46,         139339.25,         108692.42,         103574.74,         114485.31,         107593.69,          99462.64,          82871.02,          72543.07,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         895084.02,         951657.94,         936599.39,         894708.44,         819005.75,         700710.87,         555294.90,         643202.04,         574479.62,         495660.58,         419828.52,         345526.41,         269347.27,         221959.93,         194907.11,         192547.45,         148548.97,         134020.43,         148150.61,         137687.76,         126272.54,         104160.98,          84592.49,          28225.41,          24544.69,          19036.97,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,          33590.82,          31094.04,          26865.29,          22898.15,          18929.29
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,          42365.96,          35024.68,          29665.22,          25010.85,          24305.57,          19362.20,          13454.29
,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         477530.27,         515274.14,         533193.03,         480117.21,         428139.10,         365509.39,         277903.63,         316354.03,         301875.53,         262677.20,         220306.36,         192747.56,         153758.57,         121290.86,         103529.32,         107866.59,          89100.36,          91146.32,         108752.67,          93774.77,          95736.91,          83319.73,          64619.11,          75211.12,          30353.38,,          21130.07,          16920.96
,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,          28580.16,,,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         292948.56,         364552.14,         358640.49,         389718.26,         383427.08,         307646.13,         240540.70,         307353.64,         259378.68,         243710.04,         218222.73,         195412.31,         160051.58,         138898.53,         140069.05,         144054.21,         110170.15,          97752.69,         115934.34,         117684.31,         109438.34,          90121.14,          76156.49,          63004.26,          51281.32,          48117.96,          44609.04,          20170.72
