Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),       20114763.50,       23450848.09,       23122931.61,       22189790.30,       23085608.93,       20863084.02,       20387926.35,       23183837.77,       21131320.68,       18086736.15,       16712388.65,       15697110.94,       13466748.49,       11055345.69,       10108426.79,       10004995.76,       10622398.31,       10743184.70,       10489729.85,       11055038.08,       10827840.39,        9400363.38,        8987856.37,        9779922.21,        9118608.74,        8833424.09,        7220876.84,        7064001.84
,...,...,Export,No. Of Export partners,            238.00,            238.00,            239.00,            237.00,            236.00,            234.00,            235.00,            234.00,            235.00,            236.00,            233.00,            235.00,            235.00,            236.00,            235.00,            233.00,            222.00,            218.00,            220.00,            220.00,            225.00,            226.00,            226.00,            217.00,            193.00,            194.00,            196.00,            195.00
,...,...,Export,No. Of Export products,           4582.00,           4591.00,           4614.00,           4618.00,           4611.00,           4753.00,           4756.00,           4777.00,           4836.00,           4901.00,           4902.00,           4918.00,           4913.00,           4924.00,           4945.00,           4989.00,           5015.00,           5012.00,           5017.00,           5027.00,           5037.00,           5037.00,           5036.00,           5032.00,           5031.00,           5030.00,           5034.00,           5026.00
,...,...,Import,No. Of Import partners,            238.00,            238.00,            239.00,            237.00,            235.00,            235.00,            235.00,            235.00,            235.00,            236.00,            234.00,            236.00,            235.00,            235.00,            237.00,            235.00,            222.00,            221.00,            220.00,            222.00,            225.00,            224.00,            224.00,            217.00,            191.00,            196.00,            197.00,            194.00
,...,...,Import,No. Of Import products,           4582.00,           4617.00,           4629.00,           4629.00,           4611.00,           4828.00,           4823.00,           4857.00,           4916.00,           4921.00,           4924.00,           4931.00,           4930.00,           4932.00,           4947.00,           5006.00,           5024.00,           5024.00,           5029.00,           5034.00,           5037.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5033.00,           5032.00
,...,...,Tariff,No. Of Tariff Agreement,           2466.00,           1754.00,           2286.00,           1782.00,           2212.00,           1976.00,           1662.00,           1898.00,           1269.00,           1411.00,            917.00,            740.00,           1050.00,           1068.00,            651.00,            731.00,           1246.00,            751.00,            600.00,           1053.00,            414.00,            193.00,            688.00,,            247.00,            235.00,,            418.00
,...,...,Development,Trade Balance (current US$ Mil),         748035.34,         738102.57,         670830.58,         563015.08,         440700.40,         347997.10,         326067.14,         276541.32,         268230.71,         255636.11,         265605.10,         284676.77,         219497.10,         217290.77,         154442.44,         113258.24,         131922.62,         151986.99,         181571.76,         178368.13,         162783.87,         130383.70,         116704.88,          63520.70,         -15461.88,         -46065.40,         -58759.93,         -33737.70
,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,          61008.73,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         527738.53,         571725.18,         542150.44,         532431.77,         565181.53,         503670.68,         392083.17,         479795.12,         406958.79,         306763.27,         245040.22,,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         435238.76,         516327.22,         526019.33,         510978.46,         553025.43,         475199.26,         446492.28,         557097.44,         493738.26,         441829.69,         393957.09,         365573.64,         307988.67,         254716.91,         243926.38,         246283.58,         231404.22,         194242.03,         183684.76,         189166.88,         183444.53,         150891.32,         106718.95,         102873.52,          77519.90,          77820.25,          64969.31,          48722.69
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         336382.94,         392981.47,         390784.60,         378624.90,         405908.56,         358596.69,         337788.27,         440984.15,         407334.28,         357498.64,         318194.40,         311280.96,         266254.38,         220771.13,         210243.53,         212182.40,         210563.84,         187783.58,         177181.30,         175710.47,         169448.22,         140063.76,          99748.06,          97111.96,          76709.43,          70155.98,          55024.10,          40179.45
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         761162.60,         890120.69,         869332.27,         834545.63,         864520.81,         736410.51,         659150.06,         851971.13,         747734.31,         658386.02,         574287.30,         537386.74,         451363.65,         375379.26,         365068.55,         359911.62,         340029.78,         313904.98,         301455.67,         306929.78,         301242.23,         239305.33,         119770.38,         101279.82,          42404.23,,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         806442.01,         924667.77,         913953.69,         883811.08,         963859.11,         827728.07,         743191.62,        1005202.72,         922990.55,         762927.59,         671203.31,         628813.49,         514512.87,         417993.41,         382752.81,         375101.58,         365675.73,         336944.16,         315150.86,         319196.87,         312295.91,         247650.49,         125409.72,         112463.68,          55867.24,          61934.29,          50261.66,          28043.01
,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,         307818.69,         426804.38,         363465.62,         319698.58,         278906.82,         259448.78,         217414.10,         178281.39,         164800.95,         162851.26,         149972.03,         138808.21,         133654.40,         129450.94,         125931.30,         101545.68,          64177.62,          72961.73,          53621.47,          54947.16,          46557.46,          35499.34
,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,         333233.46,,,         232098.92,         195722.93,         160794.75,,,         151944.64,         151127.52,         144521.69,         148815.90,         137659.98,         111652.89,          70375.99,          74362.85,          59422.81,          58725.25,          45124.33,          33082.12
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         315688.54,         395619.09,         402494.00,         401606.94,         396544.83,         337180.56,,,,,,,,,,,,,,,,,,,          42542.65,          42561.62,          35937.11,          31064.29
,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         341771.69,         419795.07,         427990.94,         401384.40,         417743.46,         348305.85,         307728.68,         394790.99,         353387.19,         300325.41,         262727.71,         239041.57,         194096.90,,         152121.79,         163462.15,,,,,,,,,          49069.64,          47371.33,          37457.04,          30768.10
,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,         371637.68,         380023.41,         379231.98,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         392401.76,         441966.78,         431797.33,         432698.19,         416000.57,         365407.70,         331101.83,         454163.13,         419166.41,         361581.56,         329162.63,         316266.33,         266756.11,         235221.95,         219295.38,         213010.61,         197066.94,         175648.92,         173358.75,         165070.92,         155679.88,         129238.35,          81236.98,          79262.08,          48298.25,          54051.22,          49651.02,          39208.24
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,         167557.29,         167394.80,         175723.61,         163161.14,         149157.98,         145114.10,         142288.42,         131276.32,         106017.70,          65703.18,          74667.12,,,,          24181.73
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         462046.33,         467854.89,         441882.07,         436365.21,         425541.93,         371163.21,         326484.90,         422405.34,         400425.28,         380896.42,         347589.43,         325185.24,         285578.88,         258058.80,         239819.05,         240764.44,         209885.20,         188865.70,         169707.36,         154947.62,         139131.50,         124959.17,          77779.03,,,          43188.97,          38512.14,          32802.87
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         361083.78,         373490.74,,,,         313602.74,         294472.78,         363060.77,,         284839.01,         247311.55,         236599.58,         208725.85,         197040.01,         209150.86,         219991.62,         191534.60,         185519.40,         176661.24,         158391.08,         146420.62,         124400.27,          84001.93,          64985.29,          44740.26,          42971.36,          37708.20,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      636548424.09,      502500893.16,      669450589.43,      623097763.49,      676361547.12,      582200925.74,      443737926.93,      603587540.57,      462791921.34,      357964345.39,      309251525.78,      265678076.81,      282768981.15,      246628370.49,      201088110.80,      192797352.98,      170263335.40,      153280302.51,      138850608.35,      141767191.12,       49164767.31,        7638948.82,       79388559.07,        4325113.98,        7524948.20,       59673660.96,       11881057.36,       61369523.48
,World,Animal,Export,Export(US$ Mil),         150209.26,         181348.43,         177826.66,         161664.39,         166388.71,         139776.79,         127887.70,         141886.37,         123601.14,         104901.40,          97382.60,          89488.34,          75786.68,          62670.10,          60725.12,          59335.24,          62211.88,          58582.27,          59598.79,          62658.86,          62254.33,          54141.18,          37654.92,          35798.31,          17725.46,          16368.07,          14746.98,           8547.74
,World,Capital goods,Export,Export(US$ Mil),        1747282.01,        1955655.86,        1912087.02,        1828248.62,        1914179.19,        1628622.03,        1438197.99,        1930099.78,        1770411.66,        1567777.76,        1369067.69,        1266190.54,        1053056.35,         908949.44,         872629.90,         868256.31,         828690.00,         792087.30,         736256.81,         711909.88,         662761.27,         530691.10,         320565.28,         278231.59,         202228.36,         201677.88,         169007.98,         138934.13
,World,Chemicals,Export,Export(US$ Mil),         828123.10,         913794.80,         901926.42,         864842.87,         882763.85,         776709.31,         712301.85,         803218.90,         709258.82,         611520.74,         549917.70,         500880.12,         421858.18,         351402.07,         299655.71,         275687.91,         271867.73,         240353.72,         228453.36,         221294.03,         206454.34,         170856.80,         107914.20,          90397.85,          60312.47,          59821.45,          52402.70,          44864.04
,World,Consumer goods,Export,Export(US$ Mil),        2355399.40,        2752021.91,        2719733.37,        2550050.51,        2588055.50,        2148667.00,        1929141.20,        2442193.71,        2135368.04,        1838910.39,        1621890.03,        1459733.56,        1233479.39,        1026347.28,         924024.10,         885746.38,         864802.20,         792900.07,         780217.48,         770378.80,         694152.62,         585964.16,         348521.22,         316677.23,         203213.65,         206383.36,         170179.32,         125630.99
,World,Food Products,Export,Export(US$ Mil),         268064.98,         303212.63,         295809.32,         272527.20,         269987.69,         229376.72,         219728.69,         239539.70,         209273.62,         177065.49,         160296.99,         148625.23,         129694.42,         108706.47,          97198.58,          92879.67,          98996.40,          93394.74,          94568.18,          98491.88,          92125.84,          78665.88,          46548.45,          38761.29,          18878.91,          18331.18,          15295.48,           9307.00
,World,Footwear,Export,Export(US$ Mil),          48296.01,          53961.99,          49900.82,          44258.96,          46702.57,          38439.63,          35737.15,          40518.40,          37328.00,          32994.34,          30091.66,          29111.81,          26126.35,          23099.91,          22003.94,          20640.90,          21518.01,          20739.18,          21072.31,          21958.37,          20364.95,          18181.31,           7164.45,           6452.84,           4900.03,           4945.72,           4064.76,           2272.25
,World,Fuels,Export,Export(US$ Mil),         599065.66,         944150.32,        1038688.29,        1017142.72,         977186.95,         715604.18,         550374.05,         914563.46,         622351.46,         562765.99,         452291.54,         325379.08,         242575.29,         193789.81,         183298.27,         195730.76,         120001.63,          99413.67,         132441.73,         132905.94,          75607.91,          67422.59,          53539.70,          26097.81,          11054.50,          11894.81,          10656.00,           4940.93
,World,Hides and Skins,Export,Export(US$ Mil),          41641.80,          46891.15,          46910.87,          41769.35,          41311.03,          32566.53,          27265.00,          34538.32,          32940.72,          29363.63,          25705.15,          24734.76,          21990.64,          19658.27,          18894.24,          17477.84,          15736.34,          16288.35,          17640.77,          18514.83,          16558.82,          14595.74,           6349.24,           6128.09,           4177.24,           4704.75,           4608.75,           2812.43
,World,Intermediate goods,Export,Export(US$ Mil),        1448473.80,        1657289.55,        1751831.69,        1633887.99,        1610381.13,        1328128.07,        1127024.92,        1549769.73,        1386963.57,        1162880.64,        1001977.77,         916335.26,         739864.63,         621347.62,         576833.92,         579262.15,         548061.04,         521723.36,         513526.77,         516808.15,         491415.07,         398059.03,         241486.22,         221871.13,         153195.43,         159207.38,         143584.71,         116927.00
,World,Mach and Elec,Export,Export(US$ Mil),        1271977.74,        1449032.68,        1415588.11,        1367307.93,        1465251.20,        1264720.34,        1129868.65,        1502957.97,        1392368.65,        1247132.25,        1084472.35,         989387.54,         820991.05,         714890.83,         701042.85,         705201.68,         673356.92,         642506.93,         604134.76,         582382.89,         540342.03,         428830.96,         261418.70,         222729.50,         162765.73,         162553.19,         134141.97,         113137.41
,World,Metals,Export,Export(US$ Mil),         479874.09,         581880.20,         581031.42,         595313.84,         653417.32,         532226.40,         429302.78,         694543.97,         625082.09,         506247.17,         405911.41,         360952.67,         262755.24,         215592.92,         204034.54,         208040.34,         195560.50,         194500.24,         196663.92,         192552.87,         180596.91,         140616.85,          81022.50,          73549.15,          52524.48,          55568.83,          51300.88,          38156.99
,World,Minerals,Export,Export(US$ Mil),          33440.51,          43830.86,          45338.12,          45451.95,          47010.73,          34578.66,          26088.80,          37859.09,          30698.52,          25861.97,          21680.15,          17823.71,          13448.02,          11271.00,          10512.34,          10916.17,          11067.24,          10765.45,          11368.43,          11374.43,           9741.58,           8137.60,           5542.40,           4930.06,           2850.84,           3359.53,           3224.27,           1519.02
