Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kuwait,...,...,Development,GDP (current US$ Mil),         114041.21,         162631.76,         174161.50,         174070.03,         154027.54,         115419.05,         105899.93,         147395.83,         114641.10,         101550.65,          80797.95,          59440.11,          47875.84,          38137.55,          34890.77,          37711.86,          30121.88,          25941.93,          30354.43,          31493.99,          27191.69,          24848.48,          23941.39,          19858.56,          11008.79,          18427.78,          24312.12,          20692.47
Kuwait,...,...,Export,No. Of Export partners,            151.00,            152.00,            147.00,,,            144.00,,            143.00,            146.00,            139.00,,            123.00,            127.00,            126.00,            134.00,            129.00,,,,,,,,,,,,
Kuwait,...,...,Export,No. Of Export products,           2590.00,           2697.00,           2607.00,,,           1835.00,,           2335.00,           2383.00,           2692.00,,            928.00,            864.00,            830.00,            852.00,            909.00,,,,,,,,,,,,
Kuwait,...,...,Import,No. Of Import partners,            208.00,            195.00,            193.00,,,            187.00,,            175.00,            183.00,            169.00,,            147.00,            147.00,            137.00,            149.00,            146.00,,,,,,,,,,,,
Kuwait,...,...,Import,No. Of Import products,           4206.00,           4227.00,           4253.00,,,           3883.00,,           4124.00,           4366.00,           4519.00,,           1530.00,           1517.00,           1587.00,           1518.00,           1570.00,,,,,,,,,,,,
Kuwait,...,...,Tariff,No. Of Tariff Agreement,              8.00,              4.00,              3.00,,,              1.00,,              3.00,              3.00,              3.00,,              1.00,              1.00,              1.00,,,,,,,,,,,,,,
Kuwait,...,...,Development,Trade Balance (current US$ Mil),          10395.48,          60133.52,          76833.57,          84340.84,          72884.06,          41919.05,          31848.51,          60189.73,          40235.75,          42019.30,          28852.74,          14584.32,           8439.60,           3053.64,           5500.49,           9928.29,           1957.95,          -1876.64,           4025.72,           4124.92,           2825.07,           2117.84,            834.44,          -2730.06,         -11978.54,          -2420.14,           2682.10,            956.99
Kuwait,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            807.64,           1038.83,           1035.79,,,            678.81,,,,,,,,,             83.94,,,,,,,,,,,,,
Kuwait,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5097.16,           4452.19,           4011.84,,,           2835.88,,           2903.75,           2455.82,           1594.02,,            856.01,            628.17,,,,,,,,,,,,,,,
Kuwait,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1785.19,           2099.38,           1987.01,,,           1658.61,,           1819.02,           1593.15,           1302.97,,           1446.85,           1129.31,            839.89,            778.58,            581.55,,,,,,,,,,,,
Kuwait,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            782.01,            890.77,            722.37,,,            413.60,,            536.32,            389.41,            305.24,,,,             82.64,,             87.58,,,,,,,,,,,,
Kuwait,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1288.99,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            184.13,,            173.79,            125.20,            130.18,             97.88,            100.87,,,,,,,,,,,,
Kuwait,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            196.40,            179.99,,,,,,,,,,,,,,,
Kuwait,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           1289.50,,,,,            503.93,            460.92,,,,,,,,,,,,,
Kuwait,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2162.34,           2235.58,           2225.09,,,           1805.38,,           2384.44,           1822.67,           1377.95,,            808.86,           1083.96,            962.78,            752.26,            697.93,,,,,,,,,,,,
Kuwait,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            851.09,            745.80,            709.55,,,            490.15,,            425.64,            333.57,            326.87,,            207.17,            229.23,            172.57,            163.89,            152.16,,,,,,,,,,,,
Kuwait,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           1393.29,,           1368.96,,           1000.54,            745.75,            581.21,            508.73,            503.37,,,,,,,,,,,,
Kuwait,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            818.59,            839.23,            859.91,,,            606.98,,            691.19,            523.18,            344.52,,            191.60,            166.87,            137.91,            129.64,             90.30,,,,,,,,,,,,
Kuwait,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2976.18,           2952.59,           2631.78,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            401.99,,,,,,,,,,,,
Kuwait,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            469.08,            264.40,,,,,,,,,,,,,,,,,,,
Kuwait,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3006.03,           3076.84,           2930.59,,,           2596.29,,           2674.51,           2418.25,           1940.10,,           1358.04,           1277.53,            986.80,            834.61,            780.15,,,,,,,,,,,,
Kuwait,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          48987.41,          94498.84,         107758.79,,,          58124.73,,          82679.85,          59197.29,          53167.21,,          26724.03,          18965.46,          14111.06,          14929.23,          18146.64,,,,,,,,,,,,
Kuwait,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       12830504.87,       10896757.02,        4233094.96,,,        5973738.89,,        3611220.18,        5095856.59,        4352755.47,,        1666281.88,        1666281.88,         978827.34,,,,,,,,,,,,,,
Kuwait,World,Animal,Export,Export(US$ Mil),            189.53,            183.70,            163.60,,,             66.31,,             44.89,             31.63,             30.57,,             24.73,             31.80,             17.61,             10.60,             14.74,,,,,,,,,,,,
Kuwait,World,Capital goods,Export,Export(US$ Mil),            881.15,            940.65,            742.94,,,            491.32,,            732.60,            635.33,            405.35,,             86.10,             84.49,             58.00,             45.73,             71.61,,,,,,,,,,,,
Kuwait,World,Chemicals,Export,Export(US$ Mil),           1982.70,           2244.69,           1973.33,,,           1012.48,,           1485.04,            364.97,            363.11,,            228.98,            203.08,            122.16,            116.24,            133.01,,,,,,,,,,,,
Kuwait,World,Consumer goods,Export,Export(US$ Mil),          16454.48,          26905.65,          30378.96,,,          22317.35,,          26208.86,          21505.36,          17163.22,,          10242.42,           7550.69,           6025.49,           5423.13,           7046.51,,,,,,,,,,,,
Kuwait,World,Food Products,Export,Export(US$ Mil),            211.05,            213.99,            236.81,,,            125.29,,             90.44,             78.90,             66.34,,             66.24,             56.03,             44.38,             41.55,             30.12,,,,,,,,,,,,
Kuwait,World,Footwear,Export,Export(US$ Mil),              8.47,             10.76,              5.00,,,              2.25,,              4.02,              8.16,              3.54,,              1.56,              1.75,              1.40,              1.80,              1.04,,,,,,,,,,,,
Kuwait,World,Fuels,Export,Export(US$ Mil),          49145.52,          94526.60,         107788.32,,,          58153.79,,          82733.33,          59210.61,          53138.82,,          26707.73,          18941.90,          14100.46,          14930.38,          18139.36,,,,,,,,,,,,
Kuwait,World,Hides and Skins,Export,Export(US$ Mil),              7.74,             10.37,              6.82,,,              5.06,,              5.43,              5.73,              5.15,,              6.94,              9.28,              5.37,              2.97,              2.88,,,,,,,,,,,,
Kuwait,World,Intermediate goods,Export,Export(US$ Mil),           3081.59,           3659.37,           3912.43,,,           2800.23,,           2569.02,           1750.24,           1624.43,,           1065.64,            876.69,            774.63,            765.01,            799.76,,,,,,,,,,,,
Kuwait,World,Mach and Elec,Export,Export(US$ Mil),            500.65,            465.86,            368.05,,,            357.42,,            573.98,            390.11,            212.69,,            166.95,            125.14,             80.85,             77.13,             70.96,,,,,,,,,,,,
Kuwait,World,Metals,Export,Export(US$ Mil),            223.39,            437.24,            428.14,,,            365.60,,            302.64,            286.48,            224.72,,            144.24,            162.31,             70.54,             73.28,             73.12,,,,,,,,,,,,
Kuwait,World,Minerals,Export,Export(US$ Mil),             27.93,              5.41,              4.91,,,              3.75,,              2.10,              0.19,              0.89,,              6.31,              8.21,              0.08,              0.31,              0.07,,,,,,,,,,,,
Kuwait,World,Miscellaneous,Export,Export(US$ Mil),            435.82,            185.40,            126.98,,,             59.53,,             42.62,             58.16,             85.93,,             48.38,             29.87,             22.14,             20.91,             17.09,,,,,,,,,,,,
Kuwait,World,Plastic or Rubber,Export,Export(US$ Mil),            846.74,           1102.25,           1685.59,,,           1675.91,,            733.84,           1281.87,           1093.08,,            899.03,            727.73,            726.58,            706.32,            725.36,,,,,,,,,,,,
Kuwait,World,Raw materials,Export,Export(US$ Mil),          34509.13,          69609.86,          79354.23,,,          37081.67,,          57935.56,          38787.33,          36797.67,,          16714.23,          11584.70,           8216.90,           9619.98,          11215.77,,,,,,,,,,,,
Kuwait,World,Stone and Glass,Export,Export(US$ Mil),            299.61,            372.59,            452.10,,,            211.89,,            185.12,            132.03,            148.58,,             82.83,             55.95,             43.17,             37.22,             35.40,,,,,,,,,,,,
Kuwait,World,Textiles and Clothing,Export,Export(US$ Mil),             78.08,            129.21,             89.11,,,             75.59,,             71.98,             55.00,             44.69,,             49.31,             52.95,             46.18,             35.44,             34.54,,,,,,,,,,,,
