Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        5349283.79,        6273160.73,        6269047.72,        6116242.57,        6062207.49,        5333795.15,        4301374.63,        4575535.76,        3935756.08,        3337124.65,        2846922.37,        2352055.88,        2037471.65,        1978031.30,        2206147.90,        2263512.44,        2048303.95,        2269226.31,        2252962.91,        2058196.68,        1913763.06,        1795051.82,        1563037.15,        1356559.47,        1438442.38,        1168717.01,        1004930.44,         919446.07
,...,...,Export,No. Of Export partners,            228.00,            231.00,            234.00,            233.00,            232.00,            230.00,            231.00,            232.00,            233.00,            228.00,            231.00,            228.00,            227.00,            228.00,            227.00,            225.00,            214.00,            212.00,            216.00,            216.00,            213.00,            211.00,            197.00,            187.00,            192.00,            187.00,            175.00,
,...,...,Export,No. Of Export products,           4604.00,           4591.00,           4600.00,           4629.00,           4650.00,           4649.00,           4669.00,           4719.00,           4825.00,           4839.00,           4868.00,           4859.00,           4871.00,           4892.00,           4908.00,           4895.00,           4914.00,           4920.00,           4941.00,           4962.00,           4940.00,           4939.00,           4889.00,           4843.00,           4796.00,           4682.00,           4005.00,
,...,...,Import,No. Of Import partners,            237.00,            235.00,            238.00,            237.00,            236.00,            234.00,            235.00,            234.00,            234.00,            232.00,            232.00,            234.00,            231.00,            233.00,            230.00,            228.00,            218.00,            212.00,            217.00,            217.00,            218.00,            213.00,            212.00,            194.00,            188.00,            175.00,            120.00,
,...,...,Import,No. Of Import products,           4765.00,           4760.00,           4812.00,           4864.00,           4864.00,           4871.00,           4877.00,           4904.00,           4922.00,           4928.00,           4951.00,           4951.00,           4957.00,           4958.00,           4967.00,           4965.00,           4981.00,           4981.00,           5022.00,           5016.00,           5019.00,           5012.00,           5012.00,           5000.00,           4991.00,           4974.00,           4442.00,
,...,...,Tariff,No. Of Tariff Agreement,           1300.00,           1034.00,            931.00,            986.00,            944.00,            842.00,            830.00,            869.00,            557.00,            550.00,            245.00,            279.00,             29.00,             27.00,             17.00,             27.00,             40.00,             15.00,             12.00,              8.00,             97.00,             49.00,            173.00,             11.00,             50.00,             11.00,             11.00,
,...,...,Development,Trade Balance (current US$ Mil),        -119784.06,        -129033.91,        -107610.09,         -41758.26,          11955.89,          34281.87,           5816.20,            947.37,          47999.46,          83203.71,          70732.70,          52272.72,          33351.99,          15303.12,         -20551.69,         -14789.54,         -21579.69,         -54320.89,         -38747.95,         -13675.33,          -9759.16,         -27309.75,         -16370.70,         -14647.25,           2703.59,          20800.37,          22362.33,          17081.60
,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          28923.13,          23461.83,,,          18072.36,,,,,,           6537.97,           7981.55,           7081.95,           9027.81,           9042.40,           7175.07,,,           4836.19,           4049.34,,,,
,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,          12498.40,          12581.81,          10609.26,          13361.11,          13495.49,          11416.24,           9604.22,           6980.59,           4220.40,           3478.79,           2997.53,           2503.79,           1375.02,
,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25672.33,          34565.27,          38093.67,          37682.72,          37283.39,          31299.79,          21611.47,          28977.14,          20660.41,          17331.54,          12649.68,          10224.33,           8207.05,           8252.29,          10007.01,          11412.26,           8832.28,          11822.55,          12835.85,          11190.70,          10596.51,           6398.44,,,,,,
