Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        3138592.22,        3537584.76,        3561847.86,        3510771.61,        3286697.60,        2742650.83,        2353138.07,        2639163.23,        2111520.98,        1783613.42,        1523735.25,        1264688.67,        1087750.03,         965795.64,         969541.27,         966012.94,         866211.59,         808298.52,         831580.95,         801283.29,         707482.55,         620960.41,         596391.75,         592572.37,         544545.54,         543734.80,         415448.04,         402691.05
,...,...,Export,No. Of Export partners,            219.00,            227.00,            230.00,            227.00,            225.00,            223.00,            224.00,            219.00,            225.00,            213.00,            215.00,            217.00,            212.00,            207.00,            202.00,            211.00,            195.00,            198.00,            199.00,            197.00,            193.00,            185.00,            181.00,            156.00,            135.00,             70.00,             71.00,
,...,...,Export,No. Of Export products,           4383.00,           4612.00,           4629.00,           4617.00,           4519.00,           4580.00,           4571.00,           4661.00,           4810.00,           4677.00,           4775.00,           4606.00,           4631.00,           4549.00,           4517.00,           4520.00,           4606.00,           4619.00,           4369.00,           4465.00,           4481.00,           4317.00,           4100.00,           3895.00,           3944.00,            535.00,            554.00,
,...,...,Import,No. Of Import partners,            233.00,            231.00,            235.00,            230.00,            228.00,            228.00,            228.00,            224.00,            226.00,            218.00,            224.00,            223.00,            214.00,            215.00,            218.00,            214.00,            210.00,            207.00,            211.00,            194.00,            191.00,            195.00,            184.00,            177.00,            155.00,             87.00,             91.00,
,...,...,Import,No. Of Import products,           4572.00,           4826.00,           4821.00,           4830.00,           4825.00,           4838.00,           4842.00,           4864.00,           4954.00,           4941.00,           4963.00,           4962.00,           4941.00,           4967.00,           4994.00,           5002.00,           5007.00,           5012.00,           4991.00,           4999.00,           5010.00,           4987.00,           4967.00,           4949.00,           4743.00,           1581.00,           1635.00,
,...,...,Tariff,No. Of Tariff Agreement,            705.00,            617.00,            387.00,            437.00,            166.00,            137.00,            443.00,            417.00,            402.00,            405.00,            514.00,             26.00,,              5.00,,,             12.00,,,,,,             12.00,,,,,
,...,...,Development,Trade Balance (current US$ Mil),         -19140.35,         322511.96,         475405.22,         493695.19,         473573.53,         227563.79,          87297.47,         355730.52,         258551.44,         281103.28,         219166.54,         116506.97,          76079.42,          42539.11,          42397.36,          74691.08,          14746.07,         -35301.20,          15052.10,          12829.46,          -2370.54,          -7169.27,         -31599.98,,,,,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          30539.69,          50115.04,,,          39429.50,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          68091.44,         123297.12,          96145.13,          83980.96,          66147.99,          64723.47,          47985.18,          59994.88,          40756.90,          30406.69,          22962.21,          17631.55,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           9163.93,           7044.73,           6831.71,           7898.94,           7771.99,           6635.62,           4144.16,           3272.86,           1004.20,,,
