Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Panama,...,...,Development,GDP (current US$ Mil),          52132.29,          49165.77,          44856.19,          39954.76,          34373.82,          28917.20,          26593.50,          24522.20,          20958.00,          18141.67,          16374.39,          15013.38,          13693.98,          12994.31,          12502.01,          12304.11,          12130.25,          11575.49,          10677.29,           9870.49,           9573.81,           9365.29,           8782.59,           8042.34,           7074.68,           6433.97,           5918.47,           5902.78
Panama,...,...,Export,No. Of Export partners,             81.00,             83.00,             90.00,             81.00,            120.00,            124.00,            113.00,            110.00,            112.00,            108.00,             76.00,             70.00,             65.00,             59.00,             61.00,             65.00,             72.00,             65.00,             65.00,             64.00,             63.00,,,,,,,
Panama,...,...,Export,No. Of Export products,            408.00,            456.00,            463.00,            473.00,           3084.00,           2998.00,           2726.00,           2758.00,           2888.00,           2922.00,            464.00,            475.00,            473.00,            514.00,            484.00,            516.00,            629.00,            700.00,            648.00,            590.00,            486.00,,,,,,,
Panama,...,...,Import,No. Of Import partners,            100.00,             93.00,             95.00,             84.00,            111.00,            103.00,            101.00,            108.00,            104.00,            100.00,             84.00,             87.00,             82.00,             84.00,             88.00,             88.00,             90.00,             84.00,             78.00,             93.00,             88.00,,,,,,,
Panama,...,...,Import,No. Of Import products,           3801.00,           3743.00,           3763.00,           3747.00,           3938.00,           3899.00,           3798.00,           3855.00,           3957.00,           3963.00,           3841.00,           3853.00,           3881.00,           3916.00,           3906.00,           3937.00,           4001.00,           4077.00,           4029.00,           4077.00,           4111.00,,,,,,,
Panama,...,...,Tariff,No. Of Tariff Agreement,              1.00,,             28.00,              1.00,              1.00,              1.00,              1.00,             11.00,             10.00,              9.00,              9.00,              1.00,              1.00,              1.00,              1.00,              2.00,              1.00,              1.00,              2.00,,,,,,,,,
Panama,...,...,Development,Trade Balance (current US$ Mil),,          -3856.30,          -3654.50,          -3618.10,          -3719.00,          -2685.10,             17.40,          -2912.10,          -1435.70,          -1006.64,          -1095.89,          -1218.68,           -823.46,           -854.02,           -728.55,          -1226.45,          -1574.36,          -1847.77,          -1213.71,          -1325.88,          -1264.81,          -1079.34,          -1015.43,           -978.41,           -816.56,           -437.96,           -300.68,            115.28
Panama,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             28.81,             33.31,             36.52,             40.72,             31.26,,,,,,,,,,,
Panama,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             30.35,             34.95,             23.68,             27.52,,,,,,,
Panama,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             65.98,            119.80,,,,,,,,,,,,,,,,,,,,,,,,
Panama,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             40.94,             69.46,             51.33,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1158.90,           1114.31,           1024.51,            809.77,           5712.16,           4172.71,           2133.80,           2424.35,           2626.35,           2102.23,,,,,,,,,,,,,,,,,,
Panama,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           1863.86,           1718.19,           1302.80,           1409.74,           1361.86,           1284.79,,,,,,,,,,,,,,,,,,
Panama,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            122.91,            179.76,            169.00,,,,,,,,,,,,,
