Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        1595824.74,        1748892.80,        1685658.71,        1602991.33,        1528436.38,        1358538.87,        1018672.83,        1064622.99,         932254.36,         801291.22,         685844.82,         583204.43,         468857.66,         367084.88,         342535.52,         367959.09,         343237.81,         340613.51,         361099.78,         349099.45,         337516.29,         291679.46,         298956.98,         310736.66,         316336.98,         307007.74,         306067.21,         292665.62
,...,...,Export,No. Of Export partners,            225.00,            231.00,            231.00,            234.00,            232.00,            231.00,            232.00,            231.00,            231.00,            226.00,            228.00,            232.00,            228.00,            232.00,            231.00,            226.00,            215.00,            218.00,            211.00,            208.00,            208.00,            194.00,            185.00,            174.00,            102.00,            105.00,,
,...,...,Export,No. Of Export products,           4503.00,           4573.00,           4597.00,           4713.00,           4705.00,           4714.00,           4686.00,           4751.00,           4824.00,           4843.00,           4848.00,           4858.00,           4869.00,           4878.00,           4907.00,           4890.00,           4868.00,           4840.00,           4854.00,           4846.00,           4834.00,           4652.00,           4609.00,           4552.00,           1766.00,           1831.00,,
,...,...,Import,No. Of Import partners,            234.00,            234.00,            232.00,            235.00,            234.00,            235.00,            235.00,            234.00,            234.00,            234.00,            233.00,            235.00,            235.00,            237.00,            236.00,            236.00,            220.00,            221.00,            220.00,            216.00,            221.00,            195.00,            185.00,            171.00,            102.00,            109.00,,
,...,...,Import,No. Of Import products,           4621.00,           4630.00,           4739.00,           4854.00,           4857.00,           4891.00,           4915.00,           4925.00,           4971.00,           4953.00,           4962.00,           4989.00,           4991.00,           5021.00,           5017.00,           5025.00,           5011.00,           5015.00,           5019.00,           5023.00,           5016.00,           4988.00,           4928.00,           4850.00,           3901.00,           3980.00,,
,...,...,Tariff,No. Of Tariff Agreement,            596.00,            551.00,            556.00,            578.00,            685.00,            563.00,            522.00,            593.00,            483.00,            417.00,            284.00,            140.00,            134.00,            219.00,            144.00,             87.00,             20.00,             91.00,             12.00,             82.00,             38.00,             40.00,,,,,,
,...,...,Development,Trade Balance (current US$ Mil),         -82221.29,         -37341.87,         -33503.41,          42505.63,          39759.58,          18016.33,         -35973.58,          25597.14,           1418.74,          32375.61,          10832.50,           -453.80,          -5578.15,           2331.23,           -462.32,          13824.93,          -3445.10,         -15082.24,          -5530.46,          -1865.56,          -2319.58,          -1455.25,            483.80,           1471.03,           2861.28,           5861.56,           7594.15,           2885.99
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          23320.28,          46023.48,          55406.58,          60499.38,          54442.01,          44074.94,          32864.27,          18880.38,          22986.84,           8227.57,           5736.94,,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          36627.25,          47798.76,          47781.06,          40455.69,          40489.28,          35201.82,          27542.26,          25629.26,          23086.66,          15978.02,           9671.81,           6889.08,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          10948.98,,          11367.88,           8519.74,,           4802.55,           4989.66,           4322.20,           4371.20,           4595.25,           3704.99,           2912.83,           2941.54,           3495.68,           2368.64,,,,             93.82,             98.50,,
