Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
 World,...,...,Development,GDP (current US$ Mil),       74292303.72,       78658072.36,       76769571.63,       74694236.76,       73169551.06,       65853027.00,       60045974.44,       63345847.94,       57757462.04,       51312473.28,       47394373.74,       43782494.36,       38879287.02,       34621052.79,       33346254.84,       33551371.75,       32491260.75,       31319015.87,       31415422.46,       31531964.58,       30851147.66,       27750824.22,       25793568.57,       25350493.26,       23876465.98,       22547766.94,       20050020.32,       19098928.73
 World,...,...,Export,No. Of Export partners,            238.00,            238.00,            239.00,            238.00,            237.00,            235.00,            236.00,            235.00,            236.00,            236.00,            234.00,            238.00,            237.00,            238.00,            237.00,            237.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            202.00,            204.00,            203.00,            200.00
 World,...,...,Export,No. Of Export products,           4768.00,           4800.00,           4792.00,           4824.00,           4800.00,           4845.00,           4887.00,           4918.00,           4954.00,           4950.00,           4966.00,           4978.00,           4989.00,           4983.00,           4993.00,           5020.00,           5028.00,           5033.00,           5034.00,           5036.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5035.00,           5032.00
 World,...,...,Import,No. Of Import partners,            238.00,            238.00,            239.00,            238.00,            238.00,            236.00,            236.00,            236.00,            236.00,            236.00,            234.00,            238.00,            237.00,            238.00,            238.00,            237.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            203.00,            204.00,            201.00,            199.00
 World,...,...,Import,No. Of Import products,           4862.00,           4870.00,           4873.00,           4902.00,           4904.00,           4924.00,           4938.00,           4949.00,           5010.00,           5010.00,           5020.00,           5023.00,           5022.00,           5031.00,           5035.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5036.00,           5035.00
 World,...,...,Tariff,No. Of Tariff Agreement,           1512.00,           1432.00,           1275.00,           1284.00,           1312.00,           1293.00,           1257.00,           1340.00,            847.00,            818.00,            670.00,            528.00,            413.00,            403.00,            322.00,            334.00,            277.00,            211.00,            322.00,            208.00,            155.00,             55.00,            124.00,             51.00,             44.00,             45.00,             43.00,             38.00
 World,...,...,Development,Trade Balance (current US$ Mil),         565210.26,         680078.47,         712991.28,         616705.11,         584568.44,         497396.63,         335886.50,         322788.29,         409599.96,         313292.52,         178556.28,         127261.90,          74656.93,          62893.78,         -16742.06,          14220.87,          80467.07,         119721.75,         141139.28,         122064.81,         134756.16,         117265.26,         113766.34,          93434.13,           2656.09,         -70773.13,         -79388.97,         -56330.96
 World,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,         101760.63,,,
 World,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,         112201.28,,,
 World,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1323771.08,        1527428.85,        1542454.93,        1439757.00,        1425623.91,        1183660.57,         867611.61,         902619.55,         807138.63,         669104.84,         555323.94,         472185.71,         359918.15,,,,,,,,,,,,,,,
 World,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        2372156.70,        2525509.00,        2390455.52,        2295259.81,        2221090.12,        1940934.16,        1513592.58,        1773933.02,        1553768.38,        1286245.35,        1053223.04,         844140.87,         637712.11,         503649.09,         427626.46,         412989.16,         318542.15,         282497.27,         279015.03,         243989.10,,         181354.90,         141461.69,,,,,
 World,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,         707785.87,         611352.90,         563973.67,         695863.19,         619376.57,         551114.75,         489333.18,         450548.13,         377989.56,         316992.71,         306552.18,         311930.35,         290910.31,         281170.01,         264648.35,         266900.44,         260214.70,         191035.26,         142685.88,         137064.05,         108282.65,          91465.70,          76532.63,          55841.76
 World,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,         588564.12,         570386.63,         594277.71,         525605.44,         486734.14,         616562.64,         559699.55,         493202.33,         439823.45,         425655.81,         363222.92,         306025.08,         297740.80,         296789.13,         291723.60,         292249.00,         274872.51,         265395.72,         262465.10,         196583.28,         145454.75,         138355.02,         110398.81,          88263.51,          68190.06,          47463.34
 World,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         979357.22,        1126060.56,        1097232.45,        1068702.81,        1125515.69,         973119.17,         852629.25,        1096628.21,         962599.18,         840051.64,         731098.87,         674083.72,         566288.46,         472002.75,         466706.66,         468565.35,         437124.79,         445409.67,         426409.02,         428107.90,         425485.75,         315745.35,         190361.68,         166404.69,         103376.01,          71575.36,          56006.03,
 World,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1225656.42,        1402628.24,        1367689.60,        1320221.20,        1388165.53,        1189473.25,        1040722.54,        1366058.63,        1241286.77,        1041919.68,         926775.99,         860621.12,         711695.30,         587839.72,         542635.91,         528892.44,         507796.89,         503666.86,         478380.67,         477685.65,         467903.67,         348752.50,         209670.23,         190486.41,         121689.86,          94023.24,          74625.43,          41497.30
 World,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         646221.08,         708746.16,         758298.21,,,,,,,,,,,,,,,,,,,,,,,,,
 World,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,          40264.71
 World,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,          72232.13,          55663.05,          38205.00
 World,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,         666580.82,,,,,,,,,,         285608.84,         297365.48,         317116.94,         256156.54,         224903.39,         267844.50,         268342.18,         252487.19,         204974.13,         163641.53,         145565.90,         129176.82,          78894.16,          70807.56,
 World,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         684150.82,         782891.23,         808578.24,         881360.33,         894752.69,         827405.99,         640568.00,         852788.87,         784301.61,         716075.63,         664297.95,         625665.67,         521975.88,         461102.42,         449339.71,         517722.39,         441234.59,         409281.33,         440917.75,         406740.68,         424117.07,         375225.19,         321435.00,         260250.70,         223807.53,         110588.18,          95278.99,          52129.43
 World,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         530102.29,         595847.98,,,,,,,,,,,,,,,,,,,,,,,,,,
 World,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,          37606.83
 World,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         608455.50,         669946.06,,         668723.93,         659427.44,         568630.06,         507617.47,         662008.01,         613295.52,         534867.00,         477589.31,         454594.24,         387530.74,         339652.19,         331080.98,         333247.90,         307682.05,         298157.47,         287212.09,         269157.31,         250610.79,         199368.56,         145866.11,         134329.66,,          79052.88,          72702.58,          53699.44
 World,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,         220893.50,,,         124421.92,,,,
 World,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        2058112.21,        2157878.87,        2058383.44,        2044013.16,        1986010.61,        1748399.60,        1420644.66,        1896145.03,        1787077.68,        1724882.86,        1521971.52,        1364347.49,        1174257.95,        1091436.46,        1055894.17,        1140516.04,         975855.30,         874753.84,         833725.02,         745944.09,         689977.55,         609156.34,         489304.80,         390763.76,         322642.13,         309611.32,         276186.36,         149911.40
 World,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1395345.21,        1537414.11,        1514070.13,        1499950.32,        1436895.69,        1239888.55,        1040437.66,        1303956.81,        1162265.77,        1038415.55,         920786.65,         850232.66,         755885.12,         724432.16,         754271.09,         814277.91,         725963.06,         713863.33,         718106.06,         637439.44,         583882.81,         487901.06,         392262.13,         337503.81,         271417.42,         248930.77,         211778.24,          89424.67
 World,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,         681463.80,,,,,,,,,,,,,,,,,,,,,,,,,
 World,World,All Products,Tariff,Duty Free Imports (US$ Thousand),          25160.02,          14607.01,          93169.61,           6377.89,         262360.09,         105154.18,           3142.50,         202299.54,          26603.83,           7690.40,           1157.03,            289.50,           3885.70,           2416.68,         165122.48,         165127.66,            811.53,            107.42,            502.51,           8637.90,         199120.10,          93289.99,         152605.00,         221676.78,         316564.29,        2473468.25,         525641.11,        1485566.44
 World,World,Animal,Export,Export(US$ Mil),         308089.35,         401955.94,         379805.27,         350682.04,         351972.79,         294252.06,         256545.85,         287543.27,         245825.10,         211457.87,         197888.28,         179896.26,         155391.29,         135987.08,         133998.79,         130242.05,         114315.17,         114579.09,         119599.86,         120078.62,         118121.65,          98600.71,          75928.66,          70666.56,          46741.89,          35178.33,          30765.22,          14078.31
 World,World,Capital goods,Export,Export(US$ Mil),        5148536.33,        6325665.74,        6196747.03,        5989301.62,        5908549.68,        5179362.30,        4283016.06,        5414321.90,        4975393.45,        4400979.46,        3860968.46,        3478158.43,        2858264.29,        2491674.47,        2413712.62,        2559419.61,        1978346.01,        1873334.58,        1827055.13,        1658790.43,        1564022.61,        1268024.59,         943045.93,         815153.53,         674686.42,         457565.82,         403906.05,         297821.19
 World,World,Chemicals,Export,Export(US$ Mil),        1417362.12,        1884345.02,        1849754.80,        1809812.74,        1828606.19,        1583670.49,        1386159.68,        1559688.55,        1365506.74,        1177168.16,        1046518.36,         946438.08,         793984.46,         661726.93,         587977.42,         558480.58,         435372.32,         418968.96,         404883.33,         382873.84,         365007.30,         281977.22,         202005.62,         176958.24,         135646.97,          93565.36,          82055.11,          61830.00
 World,World,Consumer goods,Export,Export(US$ Mil),        4970942.94,        6706299.93,        6578764.72,        6142559.34,        6030196.13,        5036547.39,        4230048.20,        5371360.13,        4654382.41,        4020965.18,        3531105.87,        3101215.39,        2616833.19,        2240751.04,        2078994.71,        2059125.87,        1664380.90,        1608759.19,        1605767.23,        1515077.41,        1393476.06,        1162888.94,         863997.48,         731537.71,         525210.64,         413475.24,         352505.35,         233960.90
 World,World,Food Products,Export,Export(US$ Mil),         508337.49,         655036.91,         646290.40,         606848.33,         585299.82,         494993.99,         450601.38,         477451.16,         413921.40,         356955.95,         315830.98,         289597.19,         254995.61,         220388.57,         203768.44,         193061.88,         169572.55,         173838.00,         182497.24,         184644.24,         168400.43,         137404.72,          97478.28,          82613.83,          54163.78,          36748.78,          30886.64,          12913.26
 World,World,Footwear,Export,Export(US$ Mil),         147409.88,         172192.05,         157623.72,         143281.88,         140224.34,         117904.28,         100417.78,         113049.72,         101825.13,          90546.62,          81402.15,          75030.57,          67358.29,          60965.87,          59445.37,          58646.02,          50209.48,          51046.88,          54551.38,          52652.82,          49820.12,          45070.33,          31882.48,          21794.34,          14702.99,          13427.14,          10980.56,           6834.14
 World,World,Fuels,Export,Export(US$ Mil),        1549084.85,        2938046.15,        3249753.27,        3179085.07,        3106329.64,        2344453.42,        1683523.13,        2635400.43,        1821601.56,        1695884.20,        1293565.32,         954044.08,         731421.12,         585736.74,         576490.54,         636249.39,         359845.08,         278072.43,         329680.34,         356524.91,         248613.71,         221088.32,         194884.94,         173800.50,         137567.60,          76998.51,          53492.31,          11507.10
 World,World,Hides and Skins,Export,Export(US$ Mil),         113374.66,         143934.85,         145164.50,         130629.36,         126555.85,         104256.23,          80370.83,          99650.62,          94641.87,          86904.95,          79777.56,          75025.90,          65718.81,          58311.05,          58601.79,          56153.89,          42184.38,          43716.03,          48213.61,          46461.48,          44363.63,          38868.09,          26870.08,          19722.81,          14189.16,          12387.45,          11981.73,           7678.75
 World,World,Intermediate goods,Export,Export(US$ Mil),        3255208.26,        4231579.49,        4395015.52,        4178208.33,        4177855.25,        3412937.88,        2746765.08,        3606600.75,        3194951.25,        2703609.34,        2325737.74,        2070771.10,        1661732.03,        1416850.14,        1339508.31,        1372905.77,        1115301.66,        1136794.99,        1158578.86,        1102113.84,        1078016.30,         819631.95,         605787.66,         536719.55,         424504.47,         325891.77,         298436.66,         189677.71
 World,World,Mach and Elec,Export,Export(US$ Mil),        4150206.52,        5039027.09,        4922124.38,        4746998.37,        4757497.51,        4228039.48,        3518477.64,        4389522.70,        4077203.54,        3631718.90,        3175653.25,        2856053.88,        2353969.36,        2048445.11,        2002307.46,        2157825.10,        1657900.68,        1557270.92,        1544249.62,        1404468.34,        1328012.52,        1056576.44,         780626.85,         651291.71,         532984.45,         376844.51,         329657.39,         249046.56
